"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADCY3",31.995258863837,0.000356578865034519,0.296135153107686,0.00120410853386546,0.999039260623457,0.999039260623457
"AGRP",31.995258863837,0.000356578865034519,0.296135153107686,0.00120410853386546,0.999039260623457,0.999039260623457
"ANKRD27",31.995258863837,0.000356578865034519,0.296135153107686,0.00120410853386546,0.999039260623457,0.999039260623457
"ANO4",31.995258863837,0.000356578865034519,0.296135153107686,0.00120410853386546,0.999039260623457,0.999039260623457
"BDNF",46.3917030117148,-0.806998332566264,0.27716803231829,-2.91158517025345,0.00359599856156401,0.01797999280782
"CADM1",31.995258863837,0.000356578865034519,0.296135153107686,0.00120410853386546,0.999039260623457,0.999039260623457
"CADM2",46.3917030117148,-0.806998332566264,0.27716803231829,-2.91158517025345,0.00359599856156401,0.01797999280782
"CALCR",31.995258863837,0.000356578865034519,0.296135153107686,0.00120410853386546,0.999039260623457,0.999039260623457
"CNR1",53.7918511722199,0.053802359430584,0.251582610335784,0.213855637155425,0.830659636267643,0.999039260623457
"CREBRF",22.3964441478778,-0.376212563140466,0.445703515605924,-0.844087044341603,0.398620766803713,0.930115122541997
"DPP9",46.3928882957556,0.0571509553882264,0.2637075404362,0.216720975417285,0.828425800453403,0.999039260623457
"FTO",11.3995555184847,0.737184374181022,0.6425412287562,1.14729505468159,0.25125969719949,0.732840783498514
"GIPR",37.9939254192912,-0.0952131766428843,0.283332539070987,-0.336047447833124,0.736835086671099,0.999039260623457
"GPR75",41.3937772587861,-0.110902719372402,0.276456083815928,-0.401158541500009,0.688303402177709,0.999039260623457
"KIAA0586",22.5970367898981,0.559794210026228,0.426894694503456,1.31131685924875,0.189750734795069,0.603752337984309
"KIAA1109",18.1979257529287,0.362896572356005,0.496929204466791,0.73027821487247,0.465220141690354,0.957806174068375
"KSR2",47.9922956537352,-0.414685372366649,0.266926666380634,-1.5535554314956,0.120290497339076,0.458500307979418
"LEP",50.3902214066639,-1.53957919287066,0.30000275111934,-5.13188358148831,2.86856915392008e-07,3.34666401290676e-06
"LEPR",33.598370234444,2.56394327260782,0.335574494350252,7.64045931909154,2.16448178492877e-14,7.57568624725069e-13
"MRAP2",40.1934809377759,0.166116679016929,0.277771637588013,0.598033263796754,0.549817738097245,0.976666143622948
"NRP1",23.1965923083829,0.235388196957046,0.401910267753898,0.585673509344581,0.558094939213113,0.976666143622948
"NRP2",37.3951107033319,0.165769273931115,0.281217713853595,0.589469531131373,0.555546345482972,0.976666143622948
"NTRK2",33.7930364562607,-2.15492861251824,0.379252788945183,-5.682037615364,1.33099377036506e-08,2.32923909813886e-07
"PCSK1",50.993629098281,0.892000027403859,0.256989150158722,3.47096376190566,0.000518593980097206,0.00363015786068045
"PDE3B",37.1942217403014,-0.277181592450709,0.295996287465354,-0.936436043925562,0.349048727259428,0.872621818148571
"PHIP",15.3980739134338,0.397682015629321,0.537287514238043,0.740166121658896,0.459199201463189,0.957806174068375
"POMC",58.1930364562606,0.555564968963475,0.242440816490375,2.2915488283118,0.0219316911952377,0.0959511489791651
"PPARG",29.3951107033319,0.130146232492328,0.306856721496387,0.424127038370449,0.671473167557405,0.999039260623457
"ROBO1",23.5959996663625,-0.602310132445764,0.398836018088546,-1.51016985710665,0.131000087994119,0.458500307979418
"SH2B1",53.7951107033319,0.941056206439238,0.253442116771416,3.71310111526567,0.000204735040018497,0.00179143160016185
"SIM1",15.7965923083829,-0.525650647088545,0.527329215228732,-0.996816849717954,0.318853417974003,0.858451509930007
"SPARC",47.9925919747454,0.0751349159868313,0.26085587999464,0.288032288129273,0.773322023140708,0.999039260623457
"TMEM18",19.7979257529287,0.204174000291353,0.485638570027101,0.420423773754129,0.674175903786158,0.999039260623457
"UBR2",52.3918511722199,-0.134050333498372,0.254970011617458,-0.525749411266032,0.599062327829009,0.998437213048348
"UHMK1",31.995258863837,0.000356578865034519,0.296135153107686,0.00120410853386546,0.999039260623457,0.999039260623457
