"","AbrahamSimpson","HomerSimpson","BartSimpson","LisaSimpson","MaggieSimpson"
"ADCY3",32,32,32,32,31.9762943191852
"AGRP",32,32,32,32,31.9762943191852
"ANKRD27",32,32,32,32,31.9762943191852
"ANO4",32,32,32,32,31.9762943191852
"BDNF",32,32,56,56,55.9585150585741
"CADM1",32,32,32,32,31.9762943191852
"CADM2",32,32,56,56,55.9585150585741
"CALCR",32,32,32,32,31.9762943191852
"CNR1",56,54,56,48,54.9592558610995
"CREBRF",18,20,19,31,23.9822207393889
"DPP9",49,46,47,42,47.9644414787778
"FTO",14,16,13,11,2.99777759242361
"GIPR",37,36,34,42,40.969627096456
"GPR75",35,44,41,45,41.9688862939306
"KIAA0586",27,29,23,14,19.9851839494907
"KIAA1109",26,16,17,18,13.9896287646435
"KSR2",40,40,50,58,51.9614782686759
"LEP",16,31,69,70,65.9511070333194
"LEPR",72,62,9,14,10.9918511722199
"MRAP2",47,39,37,34,43.9674046888796
"NRP1",22,29,23,19,22.9829615419144
"NRP2",42,38,36,38,32.9755535166597
"NTRK2",9,13,45,55,46.9651822813032
"PCSK1",68,73,39,32,42.9681454914051
"PDE3B",42,24,44,37,38.9711087015069
"PHIP",12,24,9,19,12.990369567169
"POMC",75,69,50,50,46.9651822813032
"PPARG",27,35,28,24,32.9755535166597
"ROBO1",19,17,26,29,26.9799983318125
"SH2B1",76,75,46,39,32.9755535166597
"SIM1",13,12,13,18,22.9829615419144
"SPARC",51,48,43,48,49.9629598737269
"TMEM18",23,20,21,21,13.9896287646435
"UBR2",47,52,56,52,54.9592558610995
"UHMK1",32,32,32,32,31.9762943191852
